Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Tenure,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,58490,0,0,360,Yes,Urban,Yes
LP001003,Male,Yes,1,Graduate,No,45830,15080,1280000,360,Yes,Rural,No
LP001005,Male,Yes,0,Graduate,Yes,30000,0,660000,360,Yes,Urban,Yes
LP001006,Male,Yes,0,Not Graduate,No,25830,23580,1200000,360,Yes,Urban,Yes
LP001008,Male,No,0,Graduate,No,60000,0,1410000,360,Yes,Urban,Yes
LP001011,Male,Yes,2,Graduate,Yes,54170,41960,2670000,360,Yes,Urban,Yes
LP001013,Male,Yes,0,Not Graduate,No,23330,15160,950000,360,Yes,Urban,Yes
LP001014,Male,Yes,3+,Graduate,No,30360,25040,1580000,360,No,Semiurban,No
LP001018,Male,Yes,2,Graduate,No,40060,15260,1680000,360,Yes,Urban,Yes
LP001020,Male,Yes,1,Graduate,No,128410,109680,3490000,360,Yes,Semiurban,No
LP001024,Male,Yes,2,Graduate,No,32000,7000,700000,360,Yes,Urban,Yes
LP001027,Male,Yes,2,Graduate,,25000,18400,1090000,360,Yes,Urban,Yes
LP001028,Male,Yes,2,Graduate,No,30730,81060,2000000,360,Yes,Urban,Yes
LP001029,Male,No,0,Graduate,No,18530,28400,1140000,360,Yes,Rural,No
LP001030,Male,Yes,2,Graduate,No,12990,10860,170000,120,Yes,Urban,Yes
LP001032,Male,No,0,Graduate,No,49500,0,1250000,360,Yes,Urban,Yes
LP001034,Male,No,1,Not Graduate,No,35960,0,1000000,240,,Urban,Yes
LP001036,Female,No,0,Graduate,No,35100,0,760000,360,No,Urban,No
LP001038,Male,Yes,0,Not Graduate,No,48870,0,1330000,360,Yes,Rural,No
LP001041,Male,Yes,0,Graduate,,26000,35000,1150000,,Yes,Urban,Yes
LP001043,Male,Yes,0,Not Graduate,No,76600,0,1040000,360,No,Urban,No
LP001046,Male,Yes,1,Graduate,No,59550,56250,3150000,360,Yes,Urban,Yes
LP001047,Male,Yes,0,Not Graduate,No,26000,19110,1160000,360,No,Semiurban,No
LP001050,,Yes,2,Not Graduate,No,33650,19170,1120000,360,No,Rural,No
LP001052,Male,Yes,1,Graduate,,37170,29250,1510000,360,,Semiurban,No
LP001066,Male,Yes,0,Graduate,Yes,95600,0,1910000,360,Yes,Semiurban,Yes
LP001068,Male,Yes,0,Graduate,No,27990,22530,1220000,360,Yes,Semiurban,Yes
LP001073,Male,Yes,2,Not Graduate,No,42260,10400,1100000,360,Yes,Urban,Yes
LP001086,Male,No,0,Not Graduate,No,14420,0,350000,360,Yes,Urban,No
LP001087,Female,No,2,Graduate,,37500,20830,1200000,360,Yes,Semiurban,Yes
LP001091,Male,Yes,1,Graduate,,41660,33690,2010000,360,,Urban,No
LP001095,Male,No,0,Graduate,No,31670,0,740000,360,Yes,Urban,No
LP001097,Male,No,1,Graduate,Yes,46920,0,1060000,360,Yes,Rural,No
LP001098,Male,Yes,0,Graduate,No,35000,16670,1140000,360,Yes,Semiurban,Yes
LP001100,Male,No,3+,Graduate,No,125000,30000,3200000,360,Yes,Rural,No
LP001106,Male,Yes,0,Graduate,No,22750,20670,0,360,Yes,Urban,Yes
LP001109,Male,Yes,0,Graduate,No,18280,13300,1000000,,No,Urban,No
LP001112,Female,Yes,0,Graduate,No,36670,14590,1440000,360,Yes,Semiurban,Yes
LP001114,Male,No,0,Graduate,No,41660,72100,1840000,360,Yes,Urban,Yes
LP001116,Male,No,0,Not Graduate,No,37480,16680,1100000,360,Yes,Semiurban,Yes
LP001119,Male,No,0,Graduate,No,36000,0,800000,360,Yes,Urban,No
LP001120,Male,No,0,Graduate,No,18000,12130,470000,360,Yes,Urban,Yes
LP001123,Male,Yes,0,Graduate,No,24000,0,750000,360,,Urban,Yes
LP001131,Male,Yes,0,Graduate,No,39410,23360,1340000,360,Yes,Semiurban,Yes
LP001136,Male,Yes,0,Not Graduate,Yes,46950,0,960000,,Yes,Urban,Yes
LP001137,Female,No,0,Graduate,No,34100,0,880000,,Yes,Urban,Yes
LP001138,Male,Yes,1,Graduate,No,56490,0,440000,360,Yes,Urban,Yes
LP001144,Male,Yes,0,Graduate,No,58210,0,1440000,360,Yes,Urban,Yes
LP001146,Female,Yes,0,Graduate,No,26450,34400,1200000,360,No,Urban,No
LP001151,Female,No,0,Graduate,No,40000,22750,1440000,360,Yes,Semiurban,Yes
LP001155,Female,Yes,0,Not Graduate,No,19280,16440,1000000,360,Yes,Semiurban,Yes
LP001157,Female,No,0,Graduate,No,30860,0,1200000,360,Yes,Semiurban,Yes
LP001164,Female,No,0,Graduate,No,42300,0,1120000,360,Yes,Semiurban,No
LP001179,Male,Yes,2,Graduate,No,46160,0,1340000,360,Yes,Urban,No
LP001186,Female,Yes,1,Graduate,Yes,115000,0,2860000,360,No,Urban,No
LP001194,Male,Yes,2,Graduate,No,27080,11670,970000,360,Yes,Semiurban,Yes
LP001195,Male,Yes,0,Graduate,No,21320,15910,960000,360,Yes,Semiurban,Yes
LP001197,Male,Yes,0,Graduate,No,33660,22000,1350000,360,Yes,Rural,No
LP001198,Male,Yes,1,Graduate,No,80800,22500,1800000,360,Yes,Urban,Yes
LP001199,Male,Yes,2,Not Graduate,No,33570,28590,1440000,360,Yes,Urban,Yes
LP001205,Male,Yes,0,Graduate,No,25000,37960,1200000,360,Yes,Urban,Yes
LP001206,Male,Yes,3+,Graduate,No,30290,0,990000,360,Yes,Urban,Yes
LP001207,Male,Yes,0,Not Graduate,Yes,26090,34490,1650000,180,No,Rural,No
LP001213,Male,Yes,1,Graduate,No,49450,0,0,360,No,Rural,No
LP001222,Female,No,0,Graduate,No,41660,0,1160000,360,No,Semiurban,No
LP001225,Male,Yes,0,Graduate,No,57260,45950,2580000,360,Yes,Semiurban,No
LP001228,Male,No,0,Not Graduate,No,32000,22540,1260000,180,No,Urban,No
LP001233,Male,Yes,1,Graduate,No,107500,0,3120000,360,Yes,Urban,Yes
LP001238,Male,Yes,3+,Not Graduate,Yes,71000,0,1250000,60,Yes,Urban,Yes
LP001241,Female,No,0,Graduate,No,43000,0,1360000,360,No,Semiurban,No
LP001243,Male,Yes,0,Graduate,No,32080,30660,1720000,360,Yes,Urban,Yes
